Destinations;Cuisine locale;Richesse culturelle;Température;Qualité des hébergements;Activité en plein air;Temps de trajet;Fréquentation
Maldives ;1;1;3;3;2;3;2
Antilles française ;1;1;3;2;2;2;2
Polynésie française ;1;1;3;2;2;3;2
Grèce ;3;2;2;3;2;1;3
Hawaï ;1;1;3;3;2;3;3
France ;3;3;2;3;3;1;3
Indonésie ;2;1;3;3;3;3;3
Japon ;3;3;2;3;2;3;3
Seychelles ;1;1;3;3;2;3;2
Italie ;3;3;2;3;3;1;3
Îles Fidji ;1;1;3;2;2;3;2
Afrique du Sud ;1;2;2;2;3;3;3
Thaïlande ;3;2;3;3;2;3;3
Espagne ;3;3;2;3;3;1;3
Nouvelle-Zélande ;1;1;2;3;3;3;3
Émirats Arabes Unis ;1;1;3;3;1;2;3
Maroc ;2;1;2;3;1;2;2
États-Unis ;2;3;2;3;3;3;3
Turquie;3;2;2;2;3;1;3
Île Maurice ;1;1;3;2;2;3;2
Tanzanie ;1;1;3;2;3;2;2
Islande ;1;1;1;1;3;1;2
Croatie;2;1;2;2;2;1;2
Portugal ;2;2;2;2;2;1;2
Îles Cook ;1;1;3;1;1;3;1
Îles Grenadines ;1;1;3;1;2;2;1
Mexique ;3;3;3;2;2;3;3
Îles Caïmans ;1;1;3;3;2;3;1
Suède ;1;2;1;2;1;1;2
Belize;1;1;3;2;2;3;2
Antigua;1;1;3;1;2;2;1
Inde ;3;3;3;2;3;2;3
Australie;1;2;2;1;3;3;3
Kenya;1;1;3;1;2;2;2
Cuba;1;1;3;1;1;3;2
La Réunion;1;1;3;1;2;3;1
Malaisie;2;1;3;2;2;3;3
Puerto Rico;1;1;3;1;1;2;1
Bahamas;1;1;3;3;1;3;2
Cap Vert;1;1;3;1;1;2;2
Haiti;2;1;3;1;1;3;1
